iter	RMSE
0	4464.356086
1	4312.052468
2	4169.965201
3	4031.474678
4	3906.225445
5	3784.301043
6	3671.81106
7	3579.316615
8	3493.763876
9	3406.93886
10	3327.579859
11	3253.23453
12	3184.954567
13	3122.014014
14	3067.815125
15	3014.731441
16	2963.52035
17	2921.341251
18	2877.197014
19	2837.837512
20	2799.468811
21	2765.356438
22	2731.816934
23	2703.060319
24	2679.552456
25	2649.153579
26	2630.470052
27	2606.78448
28	2583.778253
29	2566.720305
30	2545.994036
31	2525.068426
32	2508.587369
33	2495.728672
34	2482.918533
35	2470.463091
36	2457.234567
37	2445.921251
38	2432.131256
39	2423.524532
40	2414.04207
41	2400.99384
42	2391.999337
43	2381.668612
44	2370.627672
45	2362.070184
46	2355.909341
47	2347.155819
48	2342.969621
49	2333.011496
50	2326.305595
51	2320.736406
52	2313.783041
53	2309.638374
54	2305.38333
55	2296.067942
56	2287.912109
57	2280.28086
58	2273.394336
59	2267.326505
60	2262.121141
61	2254.787182
62	2250.451807
63	2246.822627
64	2242.974402
65	2238.119698
66	2234.587775
67	2230.838927
68	2227.886476
69	2225.398203
70	2218.545635
71	2215.474219
72	2211.394766
73	2207.96878
74	2205.0918
75	2200.575305
76	2196.138668
77	2191.344717
78	2188.358044
79	2184.688488
80	2182.854355
81	2180.296491
82	2175.791951
83	2170.320027
84	2164.452346
85	2161.453526
86	2158.787139
87	2155.59921
88	2153.380315
89	2149.550579
90	2146.979214
91	2144.48741
92	2140.392654
93	2137.042307
94	2134.570224
95	2133.089436
96	2130.245006
97	2126.664774
98	2123.443632
99	2119.358811
100	2117.398935
101	2113.549074
102	2110.417594
103	2106.734016
104	2105.192549
105	2102.142384
106	2099.657654
107	2097.653018
108	2093.947533
109	2090.942022
110	2088.163891
111	2085.748852
112	2082.923088
113	2080.570537
114	2076.764779
115	2072.401961
116	2068.998678
117	2064.75096
118	2061.268148
119	2059.42932
120	2057.384659
121	2054.527091
122	2053.103438
123	2049.632422
124	2048.980569
125	2046.040479
126	2043.525547
127	2040.268979
128	2036.625759
129	2033.09311
130	2030.665022
131	2028.220671
132	2024.801488
133	2022.382238
134	2019.730889
135	2018.963978
136	2017.144827
137	2013.464852
138	2012.298358
139	2011.039489
140	2007.48384
141	2004.442377
142	2002.586053
143	1999.57587
144	1997.812518
145	1996.382451
146	1994.703434
147	1992.110215
148	1989.080007
149	1987.878669
150	1986.312291
151	1983.219164
152	1981.682407
153	1979.449978
154	1976.643165
155	1973.601129
156	1971.970367
157	1970.690756
158	1968.103148
159	1967.227562
160	1965.544714
161	1963.817725
162	1962.24884
163	1959.55602
164	1957.727176
165	1954.593835
166	1952.219715
167	1950.936047
168	1948.863927
169	1946.777261
170	1944.860403
171	1942.982166
172	1942.024441
173	1939.901418
174	1938.735398
175	1936.46704
176	1933.484909
177	1932.116185
178	1929.985108
179	1928.298246
180	1926.475774
181	1925.386855
182	1923.425473
183	1921.56352
184	1920.017817
185	1918.254636
186	1916.29127
187	1915.251956
188	1913.003655
189	1910.762784
190	1909.334656
191	1908.664609
192	1907.98771
193	1906.992929
194	1904.569837
195	1902.739064
196	1899.773508
197	1898.553503
198	1896.256271
199	1895.66597
200	1894.122289
201	1893.564895
202	1890.601349
203	1888.318211
204	1887.474266
205	1885.534803
206	1883.751364
207	1882.960697
208	1882.518365
209	1880.850261
210	1879.155911
211	1878.643066
212	1878.290755
213	1876.267329
214	1875.793222
215	1875.39507
