iter	RMSE
216	1873.552674
217	1870.196436
218	1869.601642
219	1868.158955
220	1866.297437
221	1865.974081
222	1864.367289
223	1863.588156
224	1862.790984
225	1860.418298
226	1858.917727
227	1857.057803
228	1856.868151
229	1855.039092
230	1853.408697
231	1852.605356
232	1852.261572
233	1850.765911
234	1850.17896
235	1848.466575
236	1848.045384
237	1847.2106
238	1845.7683
239	1845.47618
240	1844.096017
241	1842.611647
242	1840.915447
243	1840.48147
244	1840.207014
245	1839.862647
246	1837.502086
247	1835.419873
248	1833.831768
249	1832.550352
250	1830.451215
251	1830.154977
252	1829.026268
253	1826.319758
254	1824.062896
255	1823.2854
256	1822.048467
257	1820.701538
258	1820.458323
259	1819.288619
260	1817.725526
261	1817.417267
262	1816.117399
263	1815.979193
264	1813.105973
265	1811.895676
266	1811.609584
267	1811.376255
268	1810.146866
269	1808.90965
270	1806.774092
271	1805.79968
272	1803.786529
273	1802.604227
274	1800.528764
275	1799.08496
276	1797.407983
277	1796.433749
278	1795.407781
279	1794.479115
280	1794.13107
281	1792.410852
282	1791.014889
283	1790.858357
284	1789.316172
285	1788.655831
286	1787.297876
287	1787.173224
288	1786.870335
289	1786.284586
290	1786.088296
291	1784.568725
292	1784.297326
293	1784.155193
294	1783.013826
295	1782.640656
296	1780.673543
297	1779.401101
298	1777.821112
299	1777.58673
300	1776.147006
301	1775.896365
302	1774.60302
303	1773.07821
304	1772.823249
305	1771.430128
306	1770.18023
307	1769.146958
308	1768.292979
309	1767.496087
310	1766.118428
311	1765.590301
312	1764.311869
313	1763.437751
314	1762.690496
315	1760.688612
316	1759.993144
317	1758.664164
318	1757.71456
319	1755.783733
320	1755.070338
321	1754.156693
322	1752.76752
323	1751.524211
324	1750.821982
325	1750.491468
326	1749.152925
327	1747.062948
328	1746.328915
329	1744.385974
330	1743.494331
331	1742.59487
332	1740.823984
333	1739.572927
334	1738.530295
335	1737.653758
336	1736.687371
337	1736.356854
338	1734.962573
339	1733.758438
340	1732.857005
341	1731.770123
342	1731.437257
343	1730.508875
344	1729.375875
345	1727.750231
346	1726.624522
347	1726.504974
348	1725.092632
349	1724.795104
350	1722.928258
351	1721.749576
352	1721.493358
353	1720.268891
354	1719.131018
355	1717.833563
356	1716.766034
357	1715.414988
358	1715.254213
359	1714.042406
360	1712.581059
361	1712.02984
362	1710.571217
363	1709.31891
364	1708.183018
365	1707.534172
366	1705.812225
367	1705.083809
368	1704.433379
369	1703.400149
370	1702.238695
371	1701.840479
372	1700.894235
373	1700.739041
374	1699.78388
375	1698.512158
376	1697.976924
377	1696.637379
378	1696.119106
379	1695.618431
380	1694.359582
381	1693.136764
382	1692.104549
383	1690.767144
384	1690.539695
385	1690.194829
386	1689.130343
387	1688.880911
388	1687.760053
389	1686.662417
390	1686.039697
391	1685.95483
392	1685.75538
393	1685.083897
394	1684.642997
395	1683.812954
396	1682.846673
397	1681.418518
398	1681.073412
399	1680.082361
400	1679.120254
401	1678.645229
402	1677.5778
403	1676.401387
404	1675.273655
405	1674.268188
406	1673.824615
407	1673.449254
408	1672.948553
409	1671.764553
410	1670.814259
411	1670.411135
412	1669.616821
413	1669.223955
414	1668.89525
415	1668.216243
416	1666.97758
417	1665.463244
418	1664.160299
419	1663.362773
420	1662.228188
421	1661.20647
422	1660.871178
423	1659.895941
424	1659.21452
425	1658.7858
426	1657.965582
427	1656.729538
428	1655.804605
429	1655.430992
430	1654.8847
431	1654.48648
432	1654.122143
433	1652.94109
434	1652.719162
435	1651.461405
436	1650.805474
437	1649.960918
438	1648.935549
439	1648.271691
440	1648.030834
441	1647.347511
442	1646.462681
443	1645.795266
444	1645.272341
445	1645.172621
446	1644.104761
447	1643.38867
448	1642.492247
449	1641.301851
450	1641.012322
451	1640.851965
452	1639.934602
453	1638.784611
454	1638.432006
455	1637.641116
456	1637.37538
457	1636.606347
458	1635.537118
459	1634.332542
460	1633.516243
461	1632.989552
462	1631.940006
463	1631.666762
464	1630.504386
465	1630.160906
466	1629.058947
467	1628.275907
468	1627.567674
469	1626.773554
470	1625.773048
471	1625.322394
472	1624.48337
473	1624.021879
474	1623.981257
475	1623.180993
476	1622.46698
477	1621.618486
478	1620.730538
479	1619.985297
480	1619.292034
481	1618.837842
482	1618.510395
483	1617.600331
484	1616.654433
485	1615.663055
486	1614.777241
487	1614.083738
488	1613.544662
489	1612.820684
490	1612.116804
491	1611.343779
492	1611.096923
493	1610.242671
494	1609.562414
495	1609.239173
496	1608.495035
497	1607.840893
498	1606.820195
499	1606.494345
500	1605.583531
501	1605.15411
502	1604.336705
503	1604.011391
504	1603.126227
505	1602.42717
506	1601.216133
507	1600.911564
508	1600.642564
509	1600.293844
510	1599.422464
511	1598.859749
512	1598.605648
513	1598.294599
514	1598.010694
515	1597.050222
516	1595.959233
517	1595.294458
518	1595.221142
519	1594.949061
520	1594.237935
521	1593.703748
522	1592.679148
523	1592.473757
524	1591.90883
525	1591.22086
526	1590.944218
527	1590.306802
528	1589.785957
529	1589.642438
530	1588.736409
531	1588.07174
532	1587.50602
533	1587.019793
534	1586.957415
535	1586.125584
536	1585.350723
537	1585.056434
538	1584.462556
539	1584.409605
540	1583.78745
541	1583.219215
542	1582.863825
543	1582.297564
544	1582.051546
545	1581.116854
546	1580.089689
547	1579.539212
548	1579.202837
549	1578.521833
550	1578.444302
551	1577.984982
552	1577.750092
553	1577.162574
554	1576.972899
555	1575.790843
556	1575.214381
557	1574.969778
558	1574.585067
559	1573.650535
560	1572.997109
561	1572.773017
562	1572.133535
563	1571.49637
564	1570.38438
565	1570.334534
566	1569.87582
567	1569.298045
568	1568.592536
569	1567.888395
570	1567.450548
571	1566.967947
572	1566.049703
573	1566.011257
574	1565.206437
575	1564.985146
576	1564.18559
577	1564.147434
578	1563.934044
579	1563.821707
580	1563.62227
581	1563.150756
582	1562.381946
583	1561.741276
584	1560.912722
585	1560.677763
586	1559.719122
587	1558.374668
588	1558.186919
589	1557.43858
590	1556.699764
591	1555.950633
592	1555.743844
593	1554.61839
594	1553.897334
595	1553.578547
596	1553.042726
597	1552.321222
598	1551.774501
599	1551.219654
600	1550.985951
601	1550.807447
602	1550.122916
603	1549.497315
604	1549.430406
605	1548.834458
606	1548.44819
607	1547.697518
608	1547.211191
609	1547.02973
610	1546.414719
611	1545.723261
612	1545.068226
613	1544.423464
614	1543.684048
615	1542.686303
616	1542.332974
617	1541.371582
618	1540.858109
619	1539.66576
620	1539.435234
621	1539.263147
622	1538.559282
623	1538.519651
624	1537.918062
625	1536.817197
626	1536.345583
627	1536.289465
628	1535.772007
629	1535.41431
630	1534.913379
631	1534.287315
632	1533.395786
633	1532.491658
634	1532.083708
635	1531.851132
636	1531.507272
637	1531.023247
638	1530.344854
639	1529.807427
640	1529.396634
641	1528.716053
642	1528.370443
643	1528.206579
644	1527.760795
645	1527.171512
646	1526.48528
647	1526.300282
648	1525.949835
649	1525.940808
650	1525.273864
651	1524.908742
652	1523.925576
653	1523.766526
654	1523.281358
655	1522.352644
656	1521.860364
657	1521.302122
658	1520.929964
659	1520.50475
660	1520.355398
661	1519.889838
662	1519.449251
663	1519.307961
664	1518.922752
665	1518.56865
666	1517.78095
667	1517.150291
668	1516.623871
669	1516.124636
670	1515.401308
671	1514.387334
672	1513.243235
673	1512.83948
674	1512.315672
675	1512.182882
676	1512.09282
677	1511.546266
678	1511.460158
679	1510.994401
680	1510.64615
681	1510.514081
682	1510.035266
683	1509.508716
684	1508.947174
685	1508.358555
686	1507.981118
687	1507.85255
688	1507.355637
689	1506.522238
690	1505.887618
691	1505.326699
692	1504.8935
693	1504.767245
694	1504.273333
695	1504.108739
696	1503.237727
697	1502.944851
698	1502.62841
699	1502.215066
700	1501.555614
701	1500.748939
702	1500.351653
703	1500.338356
704	1499.732615
705	1499.073472
706	1498.879239
707	1498.499523
708	1498.26696
709	1498.061425
710	1497.734778
711	1497.431192
712	1496.763749
713	1496.236436
714	1496.026796
715	1495.490273
716	1494.995602
717	1494.579787
718	1494.020654
719	1493.901669
720	1493.499487
721	1493.011613
722	1492.509524
723	1492.294416
724	1491.775329
725	1490.921608
726	1490.370722
727	1489.817597
728	1489.271996
729	1488.897454
730	1488.784949
731	1488.356245
732	1487.871254
733	1487.495845
734	1486.746579
735	1486.318737
736	1485.838158
737	1485.83318
738	1485.324986
739	1484.598466
740	1484.298798
741	1483.822605
742	1483.626779
743	1483.107884
744	1482.748879
745	1482.33605
746	1481.997954
747	1481.74878
748	1481.491275
749	1481.21233
750	1480.72823
751	1480.21621
752	1479.35318
753	1478.999126
754	1478.59128
755	1478.146215
756	1477.459177
757	1476.860679
758	1476.55692
759	1475.96614
760	1475.288093
761	1474.815924
762	1474.068382
763	1473.396322
764	1472.968341
765	1472.552212
766	1472.469296
767	1472.000666
768	1471.622548
769	1470.87925
770	1470.378837
771	1469.897648
772	1469.196845
773	1468.917475
774	1468.737738
775	1468.735599
776	1468.288457
777	1467.789931
778	1467.104418
779	1466.575274
780	1466.128506
781	1465.869654
782	1465.278745
783	1465.125527
784	1464.696883
785	1463.950496
786	1463.613273
787	1463.208653
788	1462.900594
789	1462.850407
790	1462.558886
791	1461.944432
792	1461.296115
793	1460.876024
794	1460.411575
795	1459.798415
796	1459.021547
797	1458.601868
798	1458.324683
799	1457.791848
800	1457.085608
801	1456.239768
802	1455.651864
803	1455.12224
804	1454.760611
805	1454.488948
806	1454.302798
807	1453.847627
808	1453.366799
809	1453.141612
810	1453.102432
811	1453.073225
812	1452.468545
813	1451.938481
814	1451.327594
815	1450.693059
816	1450.100184
817	1449.390899
818	1448.929071
819	1448.414516
820	1448.120997
821	1447.68474
822	1447.049919
823	1446.914239
824	1446.24363
825	1445.981753
826	1445.674405
827	1444.606122
828	1444.414801
829	1443.977266
830	1443.585129
831	1443.063701
832	1442.641253
833	1442.163843
834	1441.816634
835	1441.468523
836	1441.000805
837	1440.531436
838	1439.795535
839	1439.171146
840	1438.726875
841	1438.685198
842	1438.104032
843	1437.674642
844	1437.138274
845	1436.812968
846	1436.563109
847	1435.936062
848	1435.534329
849	1435.166707
850	1434.668306
851	1434.115337
852	1433.814527
853	1433.484125
854	1433.120138
855	1432.929562
856	1432.650618
857	1432.374506
858	1431.92657
859	1431.423694
860	1430.759344
861	1430.264656
862	1429.903651
863	1429.821118
864	1429.548211
865	1429.217094
866	1429.157002
867	1428.712205
868	1428.290165
869	1428.23402
870	1427.816181
871	1427.494232
872	1427.128198
873	1426.847191
874	1426.596265
875	1426.148085
876	1425.569913
877	1425.20977
878	1425.00607
879	1424.589498
880	1424.353429
881	1424.147462
882	1423.553197
883	1423.471275
884	1423.062161
885	1422.43704
886	1422.19692
887	1421.894265
888	1421.600756
889	1421.49586
890	1421.201792
891	1420.445977
892	1420.164711
893	1419.998901
894	1419.765367
895	1419.607389
896	1419.21285
897	1418.5748
898	1418.225598
899	1417.928773
900	1417.608758
901	1417.363042
902	1417.176115
903	1416.797093
904	1416.708831
905	1416.131626
906	1416.036034
907	1415.851453
908	1415.810621
909	1415.332958
910	1414.9596
911	1414.708427
912	1414.244092
913	1414.111159
914	1413.772364
915	1413.021402
916	1412.835544
917	1412.561414
918	1412.505561
919	1412.175119
920	1411.924622
921	1411.391961
922	1411.18013
923	1410.715339
924	1410.404986
925	1410.020847
926	1409.657084
927	1409.373708
928	1409.100726
929	1408.723943
930	1408.247843
931	1407.995257
932	1407.698521
933	1407.432613
934	1407.003885
935	1406.319331
936	1406.040724
937	1405.923816
938	1405.645337
939	1405.297806
940	1404.999273
941	1404.884561
942	1404.845258
943	1404.501059
944	1403.859342
945	1403.447292
946	1402.912342
947	1402.31805
948	1402.126662
949	1401.94137
950	1401.444289
951	1400.864889
952	1400.491458
953	1399.829354
954	1399.49067
955	1398.966536
956	1398.567729
957	1398.3125
958	1397.773705
959	1397.701538
960	1397.285473
961	1396.941193
962	1396.34015
963	1396.074781
964	1395.643189
965	1395.324572
966	1394.965991
967	1394.646018
968	1394.240802
969	1394.075106
970	1393.597237
971	1393.561376
972	1393.041207
973	1392.86691
974	1392.468873
975	1391.896738
976	1391.632158
977	1391.320036
978	1390.963118
979	1390.710935
980	1390.63529
981	1390.183744
982	1389.791018
983	1389.507543
984	1389.495337
985	1389.203934
986	1388.827256
987	1388.80934
988	1388.209704
989	1387.956387
990	1387.424693
991	1387.390047
992	1387.228451
993	1386.964535
994	1386.651629
995	1386.376429
996	1386.162316
997	1385.696683
998	1385.679985
999	1385.649659
